מספר הגרלה,סוג הגרלה,סיום הרשמה,יישוב,קבלן,דירות בהגרלה,נרשמים בהגרלה,מחיר למטר,מענק,הערות
2721,חסרי דיור,22/06/2026,מעלה אדומים,"בניחותא בע""מ",98,8831,13800,0,
2722,חסרי דיור,22/06/2026,מעלה אדומים,קוטלר עדיקא חברה לבניה בעמ,82,8833,13800,0,
2723,חסרי דיור,22/06/2026,מעלה אדומים,א.ל.ח.ה משכן בבני עיש,79,8795,13800,0,
2724,חסרי דיור,22/06/2026,מעלה אדומים,"עמרם אברהם חברה לבנין בע""מ",72,8828,13800,0,
2725,חסרי דיור,22/06/2026,מעלה אדומים,"פיקהולץ החזקות בע""מ",59,8782,13800,0,
2726,חסרי דיור,22/06/2026,מעלה אדומים,קוטלר עדיקא חברה לבניה בעמ,44,8788,13800,0,
2727,חסרי דיור,22/06/2026,מעלה אדומים,"חמדת שומרון - יזמות בע""מ",23,8783,13800,0,
2709,חסרי דיור,22/06/2026,נהרייה,"ספייס בניה וייזמות בע""מ",170,7735,8060,0,
2710,חסרי דיור,22/06/2026,נהרייה,"דקלי פסגות יזמות בע""מ",48,7531,8309,0,
2730,חסרי דיור,22/06/2026,קדימה-צורן,"מרכז תבורי פרדס חנה בע""מ",82,12773,14408,0,
2731,חסרי דיור,22/06/2026,קדימה-צורן,"שמואל ברוך יזמות ובניה בע""מ",67,12743,14129,0,
2732,חסרי דיור,22/06/2026,קדימה-צורן,"מזמור (אזולאי) לדוד קרית השרון בע""מ",55,12788,13989,0,
2733,חסרי דיור,22/06/2026,קדימה-צורן,"בוני ישראל יזמות ואחזקה בע""מ",41,12758,13989,0,
2734,חסרי דיור,22/06/2026,קדימה-צורן,שניר לוי יזמות בנייה והשקעות ב,36,12718,13989,0,
2735,חסרי דיור,22/06/2026,קדימה-צורן,"שחק גרופ י.מ יזמות נדל""ן בע""מ",34,12772,13779,0,
2696,חסרי דיור,22/06/2026,קריית גת,"בראל א.ב. הנדסה ובנייה בע""מ",303,13232,10223,0,צביון חרדי
2697,חסרי דיור,22/06/2026,קריית גת,"רייסדור יזמות בע""מ",245,13288,10319,0,צביון חרדי
2698,חסרי דיור,22/06/2026,קריית גת,"יהלום ע.ש בע""מ",207,13136,10562,0,צביון חרדי
2699,חסרי דיור,22/06/2026,קריית גת,אחים אוזן חברה לבניה בעמ,193,13214,10223,0,צביון חרדי
2700,חסרי דיור,22/06/2026,קריית גת,"אפי קפיטל מדף 5 בע""מ",183,13129,10274,0,צביון חרדי
2705,חסרי דיור,22/06/2026,קריית גת,"שמואל ברוך בונה הארץ בע""מ",114,13038,10301,0,צביון חרדי
2706,חסרי דיור,22/06/2026,קריית גת,"סלם יעקב א.י. השקעות ונכסים בע""מ",78,12975,10526,0,צביון חרדי
2707,חסרי דיור,22/06/2026,קריית גת,"ליאל יוזמה והשקעות בע""מ",72,12971,10514,0,צביון חרדי
2708,חסרי דיור,22/06/2026,קריית גת,"ורדים אדר בע""מ",38,13013,10457,0,צביון חרדי
2673,חסרי דיור,22/06/2026,ראשון לציון,"פרשקובסקי השקעות ובניין בע""מ",93,14232,16561,0,
2674,חסרי דיור,22/06/2026,ראשון לציון,"ראם פרץ יזמות ונדל""ן בע""מ",55,13882,16510,0,
2680,חסרי דיור,22/06/2026,רחובות,"פרץ בוני הנגב (1993) בע""מ",30,4785,16767,0,
2742,חסרי דיור,22/06/2026,רכסים,"עמרם אברהם חברה לבנין בע""מ",94,4923,10758,0,
2743,חסרי דיור,22/06/2026,רכסים,"וייס בולטהאופ התחדשות עירונית בע""מ",92,4848,10742,0,
2744,חסרי דיור,22/06/2026,רכסים,"שי-חי יזמות והשקעות בע""מ",83,4835,10766,0,
2745,חסרי דיור,22/06/2026,רכסים,"שובל מתחמי מגורים בע""מ",74,4867,10471,0,
2746,חסרי דיור,22/06/2026,רכסים,"סלם יעקב א.י. השקעות ונכסים בע""מ",62,4839,10768,0,
2711,חסרי דיור,22/06/2026,אילת,"ליאם נחמיאס חברה לבניין בע""מ",99,5603,9920,0,
2675,חסרי דיור,22/06/2026,אשדוד,"עמרם אברהם חברה לבנין בע""מ",256,10155,15351,0,
2747,חסרי דיור,22/06/2026,בית דגן,גרופית הנדסה אזרחית ועבודות ציבוריו,98,14832,15310,0,
2748,חסרי דיור,22/06/2026,בית דגן,גיא דורון לוי הנדסה בנייה והשקעות,91,14871,14939,0,
2749,חסרי דיור,22/06/2026,בית דגן,"פרץ לוזון, בנין ופתוח בע""מ",79,14781,14827,0,
2750,חסרי דיור,22/06/2026,בית דגן,"מגידו י.ק. יזום בע""מ",66,14548,15506,0,
2751,חסרי דיור,22/06/2026,בית דגן,"י.ח. דמרי בניה ופיתוח בע""מ",65,14619,15156,0,
2676,חסרי דיור,22/06/2026,בית שמש,"שי-חי יזמות והשקעות בע""מ",121,7608,18478,0,צביון חרדי
2677,חסרי דיור,22/06/2026,בית שמש,"עמרם אברהם חברה לבנין בע""מ",118,7625,18428,0,צביון חרדי
2678,חסרי דיור,22/06/2026,בית שמש,"סלם יעקב א.י. השקעות ונכסים בע""מ",93,7517,18452,0,צביון חרדי
2679,חסרי דיור,22/06/2026,בית שמש,"שי-חי יזמות והשקעות בע""מ",93,7471,18685,0,צביון חרדי
2752,חסרי דיור,22/06/2026,"בני עי""ש","שריקי גרופ יזמות ובניה בע""מ",57,5289,13050,0,
2753,חסרי דיור,22/06/2026,"בני עי""ש",גילת מגורים,44,5347,12155,0,
2754,חסרי דיור,22/06/2026,"בני עי""ש","זוהר וצפריר שרבט בע""מ",42,5291,12155,0,
2755,חסרי דיור,22/06/2026,"בני עי""ש","דרישטי נדל""ן בע""מ",36,5169,12794,0,
2756,חסרי דיור,22/06/2026,בת חפר,"סלם יעקב א.י. השקעות ונכסים בע""מ",147,4856,10449,0,
2757,חסרי דיור,22/06/2026,בת חפר,"baral מכרזים למגורים בע""מ",79,4777,10784,0,
2758,חסרי דיור,22/06/2026,בת חפר,"ארקדי קליימן בע""מ",45,4675,10759,0,
2681,חסרי דיור,22/06/2026,חדרה,"שי-חי יזמות והשקעות בע""מ",104,12613,12624,0,
2682,חסרי דיור,22/06/2026,חדרה,"א. י. אמריקה ישראל להשקעות בע""מ",77,12745,12123,0,
2683,חסרי דיור,22/06/2026,חדרה,"מזמור (אזולאי) לדוד קרית השרון בע""מ",46,12394,12350,0,
2684,חסרי דיור,22/06/2026,חדרה,"יורו אסטייט גרופ בע""מ",41,12264,12732,0,
2728,חסרי דיור,22/06/2026,יהוד,"עמרם אברהם חברה לבנין בע""מ",121,4321,19561,0,
2729,חסרי דיור,22/06/2026,יקנעם עילית,"יורו אסטייט בע""מ",89,3361,17402,0,
2736,חסרי דיור,22/06/2026,כפר מנדא,"ע.פ. עראבי הצפון לבניה בע""מ",72,1061,6934,0,
2737,חסרי דיור,22/06/2026,כפר מנדא,"סוהיל יזמות מנדא 2025 בע""מ",59,1013,6934,0,
2685,חסרי דיור,22/06/2026,כפר סבא,"אלמוג (כ. ד. א. י.) בע""מ",154,20477,17946,0,
2686,חסרי דיור,22/06/2026,כפר סבא,"רמי שבירו הנדסה בניה והשקעות בע""מ",140,21004,17049,0,
2687,חסרי דיור,22/06/2026,כפר סבא,"עמרם אברהם חברה לבנין בע""מ",126,21022,16380,0,
2688,חסרי דיור,22/06/2026,כפר סבא,"מגידו י.ק. יזום בע""מ",117,20816,17066,0,
2689,חסרי דיור,22/06/2026,כפר סבא,"רמי שבירו הנדסה בניה והשקעות בע""מ",111,21189,15667,0,
2690,חסרי דיור,22/06/2026,כפר סבא,"רן-אור הנדסה בניה והשקעות בע""מ",106,20752,17594,0,
2691,חסרי דיור,22/06/2026,כפר סבא,גיא דורון לוי הנדסה בנייה והשקעות,79,21070,15360,0,
2692,חסרי דיור,22/06/2026,כפר סבא,"יורו אסטייט גרופ בע""מ",73,20677,17408,0,
2693,חסרי דיור,22/06/2026,כפר סבא,"יורו אסטייט גרופ בע""מ",57,20630,17049,0,
2694,חסרי דיור,22/06/2026,כפר סבא,"ניר רם הנדסה ובניה בע""מ",46,20560,17408,0,
2695,חסרי דיור,22/06/2026,כפר סבא,"מרכז תבורי פרדס חנה בע""מ",36,20540,17049,0,
2738,חסרי דיור,22/06/2026,מזכרת בתיה,"בסט ייזום בע""מ",149,10421,15622,0,
2739,חסרי דיור,22/06/2026,מזכרת בתיה,"גזית נדל""ן בע""מ",102,10327,15530,0,
2740,חסרי דיור,22/06/2026,מזכרת בתיה,"יורו אסטייט גרופ בע""מ",88,10202,15530,0,
2741,חסרי דיור,22/06/2026,מזכרת בתיה,"אסיה סיירוס פיתוח וייזום בע""מ",88,10150,15772,0,
2712,חסרי דיור,22/06/2026,מעלה אדומים,"עמרם אברהם חברה לבנין בע""מ",184,9858,13800,0,
2713,חסרי דיור,22/06/2026,מעלה אדומים,"שובל ברוך יזמות בע""מ",160,9881,13800,0,
2714,חסרי דיור,22/06/2026,מעלה אדומים,"עמרם אברהם חברה לבנין בע""מ",158,9844,13800,0,
2715,חסרי דיור,22/06/2026,מעלה אדומים,"בניחותא בע""מ",155,9791,13800,0,
2716,חסרי דיור,22/06/2026,מעלה אדומים,"בניחותא בע""מ",123,9744,13800,0,
2717,חסרי דיור,22/06/2026,מעלה אדומים,"אפי קפיטל ומיכמן השקעות בע""מ",114,9749,13800,0,
2718,חסרי דיור,22/06/2026,מעלה אדומים,"אס אי אס (ש.נ.ח) נדל""ן בע""מ",107,9738,13800,0,
2719,חסרי דיור,22/06/2026,מעלה אדומים,"פמה חברה להשקעות ונכסים בע""מ",103,9742,13800,0,
2720,חסרי דיור,22/06/2026,מעלה אדומים,"שובל ברוך יזמות בע""מ",102,9750,13800,0,